"Achmil","Dacglo","Plalan","Tripra","Hollan","Leuvul","Lotcor","Medsat","Fespra"
"LDF1",7.75,1.7,37.1,359.3,0,0,0,0,0
"LDF2",10.2,0,65.55,249.9,0.4,0,0,16.3,0
"LDF3",0,5.85,10.85,534.9,19.8,0,0,0,0
"LDF5",65.8,101.95,99.65,91.9,0.5,0,0,1.4,0.9
"LDF6",23.35,122.25,106.8,334.966666666667,0.7,0,0,0,0
"LDF7",164.45,13.45,39.3,331.8,0,0,0,0,5.6
"LDG1",0,39.95,0,244.675,32.3,0,0.2,0,3.7
"LDG2",0,25.95,0,745.1,21.45,0,0,0,3.5
"LDG3",0,55.4,0,210.6,56.1,0,0,0,3
"LDG5",0,153,0,240.2,44.15,0,0,10.7,2.5
"LDG6",0,37.8,20.7,225.6,110.75,4.3,0,0,1.7
"LDG7",0,64.6,0,260.1,79.65,0,0.2,0,32.9
"LDK1",12.3,44.1,130.45,425.1,2.4,0,42.6,0,2.6
"LDK2",0,51.15,75.25,327.5,9.1,0,0,17,3
"LDK3",8.9,60.75,52.65,411.3,13.3,0,5,0,10
"LDK5",0,351.2,94.0333333333333,40.8,3.6,0,0,27.95,0
"LDK6",19.3,137.25,55.3,161.45,1.95,0,59.9,46,4.6
"LDK7",5,180.65,100.35,224.15,18.05,0,0,27.5,7.5
"LDL1",0,144,0,244.6,0,0,3.6,0,0.6
"LDL2",0,2.4,1.9,554.6,60.4,0,6.3,0,28.9
"LDL3",0,16,0,560.4,2.7,0,0,20.2,0
"LDL5",0,186.9,10.4,399.8,0,0,0,19.55,0
"LDL6",0,156.6,2.4,267,21.5,0,0,17,1.6
"LDL7",0,32.45,0,339.75,0,0,0,3.4,1.3
